State,Proportion of the Adult Population Living in Pharmacy Desert (%),Proportion of the Total Population Living in Pharmacy Desert (%),Total Number of People Living in a Pharmacy Desert (N)
New Mexico,14.89,15.18,"320,932"
Alaska,14.77,15.47,"113,488"
Arizona,8.64,8.99,"640,797"
Colorado,8.6,8.6,"495,596"
South Dakota,8.28,8.9,"78,899"
Montana,8.17,8.38,"90,817"
Oregon,7.92,8.04,"340,621"
Washington,7.62,7.72,"594,498"
Mississippi,7.56,7.4,"219,252"
Minnesota,7.09,7.17,"409,101"
Utah,6.82,6.44,"210,351"
Nevada,6.33,6.59,"204,434"
Wyoming,6.22,5.95,"34,348"
California,6.17,6.43,"2,535,219"
Texas,5.74,5.79,"1,683,909"
North Dakota,5.47,5.4,"42,070"
Oklahoma,5.37,5.35,"211,562"
Maine,5.26,5.21,"70,955"
Connecticut,5.24,5.36,"192,996"
Louisiana,5.16,5.07,"235,950"
Missouri,5.07,5.08,"312,678"
Ohio,4.96,5.01,"590,536"
Virginia,4.89,4.85,"417,496"
Idaho,4.87,4.62,"85,030"
Maryland,4.86,5.01,"308,608"
West Virginia,4.81,4.69,"84,134"
Kentucky,4.63,4.59,"206,389"
Kansas,4.47,4.4,"129,344"
Wisconsin,4.47,4.52,"266,395"
Illinois,4.43,4.46,"571,740"
Indiana,4.2,4.23,"286,337"
Michigan,4.14,4.22,"423,339"
Nebraska,4.03,4.19,"82,053"
Hawaii,3.87,4.11,"59,847"
Arkansas,3.84,3.7,"111,396"
Iowa,3.44,3.35,"106,671"
Florida,3.42,3.48,"749,103"
Georgia,3.41,3.47,"371,241"
South Carolina,3.38,3.26,"166,586"
Tennessee,3.33,3.42,"235,886"
Rhode Island,3.25,3.32,"36,479"
North Carolina,3.02,2.94,"306,247"
Massachusetts,2.93,2.93,"205,691"
Delaware,2.6,2.61,"25,868"
Alabama,2.52,2.4,"120,601"
Pennsylvania,2.51,2.52,"327,033"
District of Columbia,1.98,1.91,"13,179"
Vermont,1.8,1.77,"11,406"
New York,1.74,1.83,"369,336"
New Jersey,1.05,1.15,"106,706"
New Hampshire,0.86,0.86,"11,778"